,id,n_estimatores,learning_rate,max_depth,subsample,colsample_bytee,colsample_bynode,min_child_weight,runned,MAE,MAPE,RMSE,DATE
0,1,800,0.03,3,0.5,0.5,0.5,1,0,empty,empty,empty,empty
1,2,800,0.03,3,0.5,0.5,0.5,3,0,empty,empty,empty,empty
2,3,800,0.03,3,0.5,0.5,0.5,5,0,empty,empty,empty,empty
3,4,800,0.03,3,0.5,0.5,0.75,1,0,empty,empty,empty,empty
4,5,800,0.03,3,0.5,0.5,0.75,3,0,empty,empty,empty,empty
5,6,800,0.03,3,0.5,0.5,0.75,5,1,3081.51 +/- 489.5,0.36 +/- 0.02,4096.03 +/- 617.57,2022-01-28 08:02:23
6,7,800,0.03,3,0.5,0.5,1.0,1,0,empty,empty,empty,empty
7,8,800,0.03,3,0.5,0.5,1.0,3,0,empty,empty,empty,empty
8,9,800,0.03,3,0.5,0.5,1.0,5,0,empty,empty,empty,empty
9,10,800,0.03,3,0.5,0.75,0.5,1,0,empty,empty,empty,empty
10,11,800,0.03,3,0.5,0.75,0.5,3,0,empty,empty,empty,empty
11,12,800,0.03,3,0.5,0.75,0.5,5,0,empty,empty,empty,empty
12,13,800,0.03,3,0.5,0.75,0.75,1,0,empty,empty,empty,empty
13,14,800,0.03,3,0.5,0.75,0.75,3,0,empty,empty,empty,empty
14,15,800,0.03,3,0.5,0.75,0.75,5,0,empty,empty,empty,empty
15,16,800,0.03,3,0.5,0.75,1.0,1,0,empty,empty,empty,empty
16,17,800,0.03,3,0.5,0.75,1.0,3,1,3082.48 +/- 489.87,0.36 +/- 0.02,4096.68 +/- 617.01,2022-01-27 10:44:59
17,18,800,0.03,3,0.5,0.75,1.0,5,0,empty,empty,empty,empty
18,19,800,0.03,3,0.5,1.0,0.5,1,0,empty,empty,empty,empty
19,20,800,0.03,3,0.5,1.0,0.5,3,0,empty,empty,empty,empty
20,21,800,0.03,3,0.5,1.0,0.5,5,0,empty,empty,empty,empty
21,22,800,0.03,3,0.5,1.0,0.75,1,0,empty,empty,empty,empty
22,23,800,0.03,3,0.5,1.0,0.75,3,0,empty,empty,empty,empty
23,24,800,0.03,3,0.5,1.0,0.75,5,0,empty,empty,empty,empty
24,25,800,0.03,3,0.5,1.0,1.0,1,0,empty,empty,empty,empty
25,26,800,0.03,3,0.5,1.0,1.0,3,0,empty,empty,empty,empty
26,27,800,0.03,3,0.5,1.0,1.0,5,0,empty,empty,empty,empty
27,28,800,0.03,3,0.75,0.5,0.5,1,0,empty,empty,empty,empty
28,29,800,0.03,3,0.75,0.5,0.5,3,0,empty,empty,empty,empty
29,30,800,0.03,3,0.75,0.5,0.5,5,0,empty,empty,empty,empty
30,31,800,0.03,3,0.75,0.5,0.75,1,0,empty,empty,empty,empty
31,32,800,0.03,3,0.75,0.5,0.75,3,0,empty,empty,empty,empty
32,33,800,0.03,3,0.75,0.5,0.75,5,0,empty,empty,empty,empty
33,34,800,0.03,3,0.75,0.5,1.0,1,0,empty,empty,empty,empty
34,35,800,0.03,3,0.75,0.5,1.0,3,0,empty,empty,empty,empty
35,36,800,0.03,3,0.75,0.5,1.0,5,0,empty,empty,empty,empty
36,37,800,0.03,3,0.75,0.75,0.5,1,0,empty,empty,empty,empty
37,38,800,0.03,3,0.75,0.75,0.5,3,0,empty,empty,empty,empty
38,39,800,0.03,3,0.75,0.75,0.5,5,0,empty,empty,empty,empty
39,40,800,0.03,3,0.75,0.75,0.75,1,0,empty,empty,empty,empty
40,41,800,0.03,3,0.75,0.75,0.75,3,0,empty,empty,empty,empty
41,42,800,0.03,3,0.75,0.75,0.75,5,0,empty,empty,empty,empty
42,43,800,0.03,3,0.75,0.75,1.0,1,1,3083.03 +/- 490.55,0.36 +/- 0.02,4097.09 +/- 617.47,2022-01-27 05:54:38
43,44,800,0.03,3,0.75,0.75,1.0,3,0,empty,empty,empty,empty
44,45,800,0.03,3,0.75,0.75,1.0,5,0,empty,empty,empty,empty
45,46,800,0.03,3,0.75,1.0,0.5,1,0,empty,empty,empty,empty
46,47,800,0.03,3,0.75,1.0,0.5,3,1,3083.67 +/- 488.21,0.36 +/- 0.02,4101.5 +/- 618.19,2022-01-27 16:58:35
47,48,800,0.03,3,0.75,1.0,0.5,5,0,empty,empty,empty,empty
48,49,800,0.03,3,0.75,1.0,0.75,1,0,empty,empty,empty,empty
49,50,800,0.03,3,0.75,1.0,0.75,3,0,empty,empty,empty,empty
50,51,800,0.03,3,0.75,1.0,0.75,5,0,empty,empty,empty,empty
51,52,800,0.03,3,0.75,1.0,1.0,1,0,empty,empty,empty,empty
52,53,800,0.03,3,0.75,1.0,1.0,3,0,empty,empty,empty,empty
53,54,800,0.03,3,0.75,1.0,1.0,5,0,empty,empty,empty,empty
